"","coef.names","OR","ci.low","ci.up"
"1","(Intercept)",4.22405016143667,2.99761964112646,5.95225609064537
"2","svy_year2001-2002",0.840147915137363,0.638761781942966,1.10502622301953
"3","svy_year2003-2004",0.687475005216025,0.50949498621683,0.927628132920695
"4","svy_year2005-2006",0.585931093401815,0.444694325953738,0.772025245608287
"5","svy_year2007-2008",0.487813462880761,0.371774011742463,0.640071567811906
"6","svy_year2009-2010",0.404946568838969,0.309645309763768,0.529579226436718
"7","svy_year2011-2012",0.41937706995484,0.309400400403927,0.568445052347369
"8","svy_year2013-2014",0.385649161863924,0.281272834605797,0.528758051785501
"9","svy_year2015-2016",0.497676113931256,0.368917094710718,0.671374457645919
"10","svy_year2017-2020",0.490258194513547,0.37790075234012,0.636021748565769
"11","demo_age_years",0.99808586955816,0.994968078572855,1.00121343032486
"12","demo_raceHispanic/Asian/Other",1.43305957615092,1.29146053416028,1.59018389991543
"13","demo_raceNon-Hispanic Black",1.43597908576752,1.30765761080678,1.57689284849535
"14","female",0.837249250077658,0.772647492270365,0.907252419464674
"15","cc_bmi25 to <30",0.622857959055256,0.546173496097461,0.710309159874085
"16","cc_bmi30+",0.501526941978037,0.44395909132884,0.566559573714269
"17","cc_diabetes",0.675188845336263,0.600893573738534,0.75867008200837
"18","cc_ckd",1.4342657664419,1.30779954985395,1.57296145958829
"19","cc_cvd_any",0.652057936814774,0.588541278089733,0.722429451920812
