"","coef.names","OR","ci.low","ci.up"
"1","(Intercept)",0.247571789058021,0.154797112657852,0.395949185905441
"2","svy_year2001-2002",0.959350808459063,0.639550230002525,1.43906440888533
"3","svy_year2003-2004",1.00533990001505,0.652455828749986,1.54908312567098
"4","svy_year2005-2006",1.06672677767741,0.697434483290328,1.63155973138246
"5","svy_year2007-2008",1.41993532264783,0.935737097250472,2.15468247056503
"6","svy_year2009-2010",2.09526111469519,1.37571698880697,3.19114990544738
"7","svy_year2011-2012",1.54079590311936,1.04286170565588,2.27647827338365
"8","svy_year2013-2014",1.26155166076861,0.803644106394941,1.98036989274691
"9","svy_year2015-2016",1.34740466492459,0.910474263906361,1.99401499090288
"10","svy_year2017-2020",1.54619842090866,1.06682916344113,2.24096756889263
"11","demo_age_years",1.04556038571139,1.04003916470797,1.05111091703542
"12","demo_raceHispanic/Asian/Other",0.70893593739069,0.599508492804349,0.838337020002881
"13","demo_raceNon-Hispanic Black",0.863508879437593,0.741003345215083,1.006267501601
"14","female",1.58680237323381,1.38752575154032,1.81469912821815
"15","cc_bmi25 to <30",1.47926741810169,1.22389984671383,1.78791761444585
"16","cc_bmi30+",1.6997061170147,1.36527979429803,2.11605042152008
"17","cc_diabetes",2.32350683928255,1.8322056120823,2.94654922820434
"18","cc_ckd",0.7727002191799,0.64383956853647,0.927351560696826
"19","cc_cvd_any",1.71549749896413,1.34197563078371,2.19298443387792
