"","coef.names","OR","ci.low","ci.up"
"1","(Intercept)",0.0419220555762082,0.0247077818020817,0.0711297662336737
"2","svy_year2001-2002",0.888110916356417,0.605816488172858,1.30194706672688
"3","svy_year2003-2004",0.817542576108747,0.562374585412623,1.18848874235689
"4","svy_year2005-2006",0.845339397515834,0.584883135327597,1.22178030760313
"5","svy_year2007-2008",0.979081709716894,0.677876111006594,1.41412417215693
"6","svy_year2009-2010",1.57428722650556,1.06301846102088,2.33145553197491
"7","svy_year2011-2012",0.97591800362413,0.651322420007453,1.46228030932331
"8","svy_year2013-2014",0.74444688211017,0.514085794143072,1.07803243465879
"9","svy_year2015-2016",1.02728483982141,0.685009557631753,1.54058309168032
"10","svy_year2017-2020",1.04737247653398,0.734747520774173,1.49301504746158
"11","demo_age_years",1.06146206295494,1.05465579665435,1.06831225378626
"12","demo_raceHispanic/Asian/Other",0.93307104017952,0.756541079581053,1.15079219029826
"13","demo_raceNon-Hispanic Black",1.37876036408468,1.14535582941012,1.65972887443195
"14","female",1.38609064383156,1.16692955831924,1.64641238129628
"15","cc_bmi25 to <30",1.26110206650215,0.999580864572484,1.59104528558196
"16","cc_bmi30+",1.61619786665872,1.28434612543113,2.03379407814648
"17","cc_diabetes",2.09583526031231,1.62698452379591,2.6997954646306
"18","cc_ckd",1.10108543800303,0.905186215713044,1.33938091492841
"19","cc_cvd_any",1.60729581340911,1.2578097736607,2.05388754794279
